coming_soon,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating,price_usd
False,False,0,True,True,True,81.0,244,0,248,81,0,1,10,Publisher-Backed,1,2018,0.9042327340277317,19.99
False,False,0,True,False,False,,1112,0,644,178,0,0,47,Publisher-Backed,1,2018,0.742944651061037,22.99
False,False,0,True,True,True,80.0,64,0,40,2,0,0,0,Publisher-Backed,1,2018,0.7581174753739511,9.99
False,False,0,True,True,False,83.0,382,169,307,82,0,1,22,Publisher-Backed,1,2018,0.9803430468980849,14.99
False,False,0,True,False,False,,521,0,496,119,0,0,26,Self-Published,1,2018,0.8318440292445166,19.99
False,False,94,True,True,True,75.0,331,0,147,138,1,2,60,Publisher-Backed,1,2018,0.9170000360399323,0.83
False,False,75,True,True,False,93.0,4374,227,1794,3510,0,3,97,Self-Published,1,2018,0.958143106604111,11.24
False,False,0,True,False,False,86.0,852,182,623,566,17,1,70,Self-Published,1,2018,0.8715312417289329,19.99
False,False,80,True,True,True,,1487,0,782,232,0,1,137,Publisher-Backed,1,2018,0.701844914116067,7.99
False,False,75,True,False,False,83.0,437,0,198,73,17,1,14,Publisher-Backed,1,2018,0.9011868466898955,7.49
False,False,20,True,False,False,,2458,3,536,268,0,0,0,Publisher-Backed,1,2018,0.9750354300664995,15.99
False,False,0,True,False,False,84.0,2464,265,1751,2879,17,0,41,Publisher-Backed,1,2018,0.9215229816162538,39.99
False,False,0,True,True,True,,332,0,383,0,0,1,36,Self-Published,1,2018,0.8783739837398374,2.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.6666666666666666,9.99
False,False,0,True,False,False,76.0,257,0,181,3,0,0,0,Publisher-Backed,1,2018,0.8584873949579832,9.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.6666666666666666,6.99
False,False,0,True,True,False,,191,0,212,0,0,0,5,Publisher-Backed,1,2018,0.4519230769230769,0.99
False,False,0,True,False,False,,0,0,0,0,0,0,0,Self-Published,1,2018,0.6666666666666666,4.99
False,False,0,True,False,False,,387,0,187,31,0,0,25,Self-Published,1,2018,0.9124162144909033,19.99
False,False,0,True,False,False,,268,0,275,0,0,0,0,Self-Published,1,2018,0.6791383219954649,1.99
False,False,0,True,True,True,,238,0,271,3,0,1,27,Self-Published,1,2018,0.9236311239193083,9.99
False,False,40,True,True,False,82.0,385,88,330,498,0,1,24,Publisher-Backed,1,2018,0.9725746614136022,17.99
False,False,0,True,False,False,,36715,0,189,0,0,0,9,Publisher-Backed,1,2016,0.833164812942366,1.99
False,False,0,True,False,False,,161,0,206,2,0,0,49,Publisher-Backed,1,2022,0.9335537190082644,10.99
False,False,90,True,True,True,,961,0,1093,8,0,1,44,Publisher-Backed,1,2019,0.8678970373967946,2.49
False,False,0,True,True,True,90.0,576,19,314,134,0,2,131,Publisher-Backed,1,2018,0.9708717606309728,17.99
False,False,80,True,False,False,,198,0,160,17,0,1,40,Publisher-Backed,1,2018,0.8847517730496454,2.99
False,False,80,True,False,False,77.0,596,239,205,251,0,2,90,Publisher-Backed,1,2018,0.7505952380952381,3.99
False,False,0,True,False,False,,277,37,169,24,0,6,41,Self-Published,1,2018,0.8888485477178423,19.99
False,False,0,True,False,True,,163,1,89,291,0,1,0,Self-Published,1,2018,0.9756613756613757,14.99
False,False,80,True,True,True,73.0,336,0,273,8,0,1,45,Self-Published,1,2018,0.8361291937906861,2.99
False,False,0,True,True,True,80.0,234,271,105,2,0,2,27,Publisher-Backed,1,2018,0.8860544217687075,9.99
False,False,0,True,True,False,,371,0,361,5,0,0,32,Publisher-Backed,1,2018,0.8881764555014107,6.99
False,False,0,True,False,False,,1341,0,565,69,0,1,133,Self-Published,1,2018,0.9866143137604855,24.99
False,False,0,True,False,False,,13481,844,1448,44886,17,37,297,Self-Published,1,2018,0.7905297936820134,19.99
False,False,0,True,False,False,70.0,921,0,1734,1,17,2,52,Publisher-Backed,1,2018,0.6153846153846154,29.99
False,False,0,True,False,False,,118,0,104,1,0,0,0,Self-Published,1,2009,0.6434892541087232,4.99
False,False,0,True,False,False,91.0,2208,889,1819,27880,17,4,55,Publisher-Backed,1,2018,0.9566251170833634,49.99
False,False,0,True,False,False,,263,0,130,2,0,0,640,Self-Published,1,2018,0.9725510602315598,1.99
False,False,0,True,False,False,,614,0,427,25,0,0,51,Publisher-Backed,1,2019,0.7364804302360323,39.99
False,False,0,True,False,False,,33,0,28,3,0,0,0,Self-Published,1,2018,0.9689285356319535,1.99
False,False,90,True,False,False,,337,0,344,0,0,0,0,Publisher-Backed,1,2018,0.4411764705882353,0.49
False,False,0,True,False,False,63.0,451,0,164,7,0,0,0,Publisher-Backed,1,2018,0.55783212161269,19.99
False,False,0,True,False,False,68.0,1321,0,1040,3,0,10,49,Publisher-Backed,1,2018,0.5853504525363081,29.99
False,False,0,True,False,False,92.0,6145,383,1057,14920,0,9,43,Self-Published,1,2018,0.851515900187061,39.99
False,False,0,True,False,False,,619,0,920,71,0,2,84,Self-Published,1,2018,0.758046614872364,24.99
False,False,0,True,False,False,,102,0,42,10,0,0,92,Publisher-Backed,1,2018,0.7613953488372093,7.99
False,False,0,True,False,False,59.0,202,0,155,43,0,0,0,Publisher-Backed,1,2018,0.6350839198700595,19.99
False,False,0,True,True,True,,163,0,107,7,0,1,15,Publisher-Backed,1,2018,0.8852768852768853,4.99
False,False,0,True,False,False,,254,18,75,80,17,0,13,Publisher-Backed,1,2018,0.9558951018638925,9.99
False,False,0,True,True,True,88.0,3574,440,564,1844,0,2,0,Publisher-Backed,1,2018,0.9522027020650823,39.99
False,False,0,True,True,False,86.0,192,0,187,11,0,0,13,Self-Published,1,2018,0.8958076448828607,9.99
False,False,0,True,True,True,,390,0,261,29,0,1,30,Self-Published,1,2018,0.9267399267399268,9.99
