coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year,approval_rating
False,14.99,False,0,True,False,False,82.0,1152,0,188,208,0,0,0,Self-Published,1,2018,0.8750328860826099
False,24.99,False,0,True,False,False,,549,0,363,44,0,0,42,Publisher-Backed,1,2018,0.7698470502549163
False,19.99,False,0,True,False,False,,0,0,0,0,0,0,0,Publisher-Backed,1,2018,0.6754772393538914
False,4.99,False,0,True,False,False,,403,0,30,54,0,0,0,Publisher-Backed,1,2018,0.8996005326231691
False,19.99,False,0,True,True,False,,1322,169,726,2464,0,6,15,Self-Published,1,2018,0.9380020778156597
False,19.99,False,0,True,True,False,83.0,1036,0,496,1099,0,9,43,Publisher-Backed,1,2018,0.95061076262793
False,24.99,False,0,True,True,True,,384,10,159,7,0,0,22,Self-Published,1,2018,0.9490472245236122
False,29.99,False,0,True,False,False,80.0,1308,0,829,178,0,4,39,Self-Published,1,2018,0.8732737611697806
False,29.99,False,0,True,True,True,71.0,2112,0,502,91,0,0,53,Publisher-Backed,1,2018,0.8332400671516508
False,6.24,False,75,True,True,False,93.0,2256,211,1062,2253,0,1,49,Self-Published,1,2018,0.9824409006902813
False,19.99,False,0,True,False,False,,553,0,247,37,0,1,46,Publisher-Backed,1,2018,0.8171336097906342
