coming_soon,price_usd,is_free,discount_pct,platforms_win,platforms_mac,platforms_linux,metacritic_score,recommendations,positive_reviews,negative_reviews,avg_playtime_forever,avg_playtime_2weeks,median_playtime,peak_ccu,required_age,dlc_count,achievements,publishing_model,genre_count,release_year
False,9.74,False,35,True,False,False,,24670,25087,2736,1189,0,676,220,0,1,155,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,77.0,1296,1288,177,302,0,47,1,0,2,35,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,85.0,16786,12895,3942,476,31,193,77,17,0,0,Publisher-Backed,1,2018
False,39.99,False,0,True,False,False,,13732,7976,599,512,152,383,127,0,0,30,Self-Published,1,2018
False,29.99,False,0,True,False,False,75.0,12292,11784,2556,530,0,191,76,17,10,35,Self-Published,1,2018
False,4.49,False,85,True,False,False,,12445,11995,3308,645,0,268,43,0,4,71,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,,1520,1250,970,647,0,152,3,0,2,36,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,,1754,1144,874,113,0,88,1,0,0,0,Self-Published,1,2018
False,14.99,False,0,True,True,True,,5716,4814,2543,421,0,293,4,0,2,31,Self-Published,1,2018
False,12.99,False,0,True,False,False,,12047,11081,1222,322,0,160,60,0,1,48,Self-Published,1,2019
False,9.99,False,0,True,True,True,61.0,2665,2872,719,637,0,226,3,0,0,31,Self-Published,1,2015
False,1.99,False,0,True,False,False,,221,214,63,268,0,271,0,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,70.0,3978,7787,4980,481,0,103,12,17,3,47,Publisher-Backed,1,2018
False,6.24,False,75,True,False,False,76.0,5135,4858,756,454,0,320,18,0,0,56,Publisher-Backed,1,2018
False,19.99,False,0,True,True,True,,2058,1908,113,1258,0,1556,134,0,2,320,Publisher-Backed,1,2018
False,4.99,False,75,True,False,False,,7138,7792,949,696,160,285,76,0,10,70,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,88.0,13480,0,0,543,0,203,10,17,0,0,Publisher-Backed,1,2010
False,19.99,False,0,True,False,False,,4541,3363,1239,1303,0,288,145,0,2,34,Self-Published,1,2018
False,6.24,False,75,True,False,False,,5587,5623,546,279,0,266,27,0,2,41,Self-Published,1,2018
False,4.99,False,0,True,False,True,,0,38,2,0,0,0,0,0,0,8,Self-Published,1,2018
False,0.71,False,88,True,True,True,,2570,2391,322,110,0,140,7,0,1,10,Publisher-Backed,1,2018
False,14.99,False,0,True,False,True,,18268,13410,1370,3241,1112,781,1806,0,0,230,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,,22701,21717,2463,563,0,175,690,0,0,8,Self-Published,1,2018
False,19.99,False,0,True,True,False,65.0,8373,8334,2681,278,0,159,197,0,0,0,Publisher-Backed,1,2018
False,2.99,False,85,True,False,False,80.0,6999,8783,889,1234,0,345,115,0,0,48,Publisher-Backed,1,2018
False,14.99,False,0,True,True,True,84.0,22760,34525,2215,1493,0,267,195,0,3,29,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,68.0,5514,7000,443,164,0,168,6,0,0,16,Publisher-Backed,1,2018
False,3.74,False,85,True,False,False,,2082,1548,535,1683,1,131,241,0,0,58,Publisher-Backed,1,2018
False,6.99,False,0,True,True,False,75.0,1044,1637,230,259,0,276,2,0,1,17,Publisher-Backed,1,2018
False,9.99,False,0,True,False,True,88.0,133304,175426,6808,7414,407,366,6187,0,0,147,Self-Published,1,2018
False,39.99,False,0,True,False,False,,37827,43116,4883,3100,57,1789,996,0,27,54,Self-Published,1,2018
False,8.99,False,0,True,False,False,,17289,16047,230,510,583,299,30,0,0,9,Self-Published,1,2018
False,9.99,False,0,True,True,False,,14284,13720,1000,1037,0,848,38,0,3,62,Self-Published,1,2018
False,17.99,False,40,True,False,False,82.0,3676,3254,339,919,0,413,47,0,0,43,Publisher-Backed,1,2018
False,7.49,False,75,True,False,False,,1466,1891,198,44,0,34,2,17,0,21,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,81.0,91567,90102,22098,2848,65,721,764,0,9,38,Self-Published,1,2018
False,1.99,False,0,True,False,False,,271,463,177,234,0,227,0,0,0,45,Publisher-Backed,1,2018
False,2.99,False,80,True,True,True,71.0,837,1734,159,150,0,74,2,0,1,34,Self-Published,1,2018
False,19.99,False,0,True,False,False,85.0,2211,1745,557,2528,0,594,7,0,0,25,Publisher-Backed,1,2018
False,11.99,False,0,True,True,False,70.0,605,1174,178,83,0,52,1,0,1,0,Self-Published,1,2018
False,24.99,False,0,True,True,False,73.0,3358,3357,691,807,161,326,36,0,3,26,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,61.0,3310,2627,760,264,0,174,27,16,0,71,Self-Published,1,2019
False,22.49,False,25,True,False,False,,7299,5690,1840,562,0,498,66,0,0,22,Self-Published,1,2018
False,12.99,False,0,True,False,False,,0,4,9,0,0,0,0,0,0,0,Self-Published,1,2018
False,14.99,False,75,True,False,False,62.0,11100,10225,3102,648,16,203,57,17,4,70,Publisher-Backed,1,2018
False,3.99,False,0,True,False,False,,0,10,7,0,0,0,0,0,0,0,Self-Published,1,2018
False,34.99,False,0,True,True,False,72.0,6752,6538,931,684,0,181,99,0,6,88,Publisher-Backed,1,2018
False,9.99,False,75,True,True,False,87.0,16497,16069,2868,796,0,299,103,0,0,2,Self-Published,1,2018
False,0.49,False,90,True,False,False,,2542,1621,325,338,0,303,67,0,1,500,Self-Published,1,2017
False,34.99,False,0,True,True,True,87.0,201180,206216,4301,12804,581,3241,19211,0,10,0,Self-Published,1,2018
False,1.99,False,0,True,False,False,,378,1032,371,278,0,245,0,0,1,5,Publisher-Backed,1,2018
False,2.99,False,90,True,False,False,,2575,0,0,0,0,0,0,0,2,45,Publisher-Backed,1,2018
False,0.99,False,0,True,False,False,,2572,2419,330,553,0,47,14,0,1,0,Self-Published,1,2018
False,17.99,False,0,True,True,True,,4292,4331,683,1164,0,127,45,0,1,31,Publisher-Backed,1,2018
False,0.81,False,59,True,False,False,,321,941,693,101,0,32,1,0,3,43,Self-Published,1,2018
False,14.99,False,0,True,True,True,76.0,5338,4945,1025,223,0,220,9,0,0,14,Self-Published,1,2015
False,1.99,False,0,True,False,False,,136,173,95,311,0,318,2,0,1,52,Self-Published,1,2018
False,39.99,False,0,True,False,False,,12276,13120,267,686,289,396,140,0,2,23,Self-Published,1,2018
False,29.99,False,0,True,False,False,,1892,992,215,211,0,127,5,0,0,44,Publisher-Backed,1,2018
False,14.99,False,0,True,False,False,78.0,1289,1320,121,756,0,110,66,0,0,0,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,,5914,4706,2098,733,0,452,1,0,1,70,Publisher-Backed,1,2018
False,3.99,False,80,True,False,False,,36036,34349,3347,834,230,243,280,0,4,62,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,,5669,3794,3392,649,0,110,24,0,1,0,Self-Published,1,2018
False,19.99,False,0,True,False,False,63.0,2208,1688,1338,451,0,164,7,0,0,0,Publisher-Backed,1,2018
False,14.99,False,0,True,True,True,85.0,15740,17124,1353,860,18,477,36,0,0,29,Self-Published,1,2018
False,19.99,False,0,True,False,True,83.0,3892,4144,292,323,0,281,13,0,1,44,Publisher-Backed,1,2018
False,10.99,False,0,True,False,False,,2905,2824,201,161,0,206,2,0,0,49,Publisher-Backed,1,2022
False,0.49,False,51,True,True,True,,0,227,112,268,0,271,0,0,0,24,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,,296,491,2219,194,0,129,0,0,0,0,Publisher-Backed,1,2018
False,29.99,False,0,True,True,True,,7382,5457,529,641,0,106,164,0,3,32,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,89.0,14835,15394,1040,941,0,407,22,17,0,0,Publisher-Backed,1,2018
False,14.99,False,0,True,False,False,82.0,4003,3326,475,1152,0,188,208,0,0,0,Self-Published,1,2018
False,24.99,False,0,True,False,False,,3980,2114,632,549,0,363,44,0,0,42,Publisher-Backed,1,2018
False,19.99,False,0,True,False,False,,5273,4140,1989,0,0,0,0,0,0,0,Publisher-Backed,1,2018
False,4.99,False,0,True,False,False,,3436,3378,377,403,0,30,54,0,0,0,Publisher-Backed,1,2018
False,19.99,False,0,True,True,False,,76634,64104,4237,1322,169,726,2464,0,6,15,Self-Published,1,2018
False,19.99,False,0,True,True,False,83.0,29205,28794,1496,1036,0,496,1099,0,9,43,Publisher-Backed,1,2018
False,24.99,False,0,True,True,True,,1774,2291,123,384,10,159,7,0,0,22,Self-Published,1,2018
False,29.99,False,0,True,False,False,80.0,3546,3225,468,1308,0,829,178,0,4,39,Self-Published,1,2018
False,29.99,False,0,True,True,True,71.0,9244,8934,1788,2112,0,502,91,0,0,53,Publisher-Backed,1,2018
False,6.24,False,75,True,True,False,93.0,278615,274829,4912,2256,211,1062,2253,0,1,49,Self-Published,1,2018
False,19.99,False,0,True,False,False,,6625,8079,1808,553,0,247,37,0,1,46,Publisher-Backed,1,2018
False,9.99,False,0,True,False,False,76.0,2560,5108,842,257,0,181,3,0,0,0,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,,5291,4296,1269,2389,0,264,83,0,2,32,Publisher-Backed,1,2018
False,29.99,False,0,True,False,False,86.0,246929,244524,11664,915,108,352,1173,0,5,50,Publisher-Backed,1,2018
